month,year,SNA_NAME,total_days_in_month,non_instructional_days_in_month,summer_weekdays_in_month,instructional_days_in_month,Avg_monthly_Per_Person,Avg_monthly_Per_hh,total_population_true_total,total_households,children_under_age18,children_5to14,children_15to17,hamilton_meal_cost,hh_snap_percent,meal_percent_income_covered,hh_size,free_reduced_estimate_f,month_meals,month_meal_dollars,snap_dollars,meal_percent_snap_covered,cps_meals,meal_percent_cps_covered,pre_charity_coverage,monthly_nbhd_meals,meal_percent_fsb_covered,monthly_nbhd_meals_lasoupe,meal_percent_lasoupe_covered,whole_again_meals,meal_percent_whole_again_covered,charitable_percent_covered
01,2019,North Fairmount,31,11,0,20,216.82,430.99,1621.0000000000002,699.4673031026254,543.1704057279237,297.89260143198095,85.88591885441528,3.17,0.36946902654867253,0.6331795120969428,2.26,1,150753.00000000003,477887.01000000007,111381.39372792363,0.23307056144489804,9978.2415274463,0.0661893396976929,0.9324394132395337,0,0,0,0,0,0,0
01,2019,Northside,31,11,0,20,216.82,430.99,7865,3918,1410,678,239,3.17,0.16436957631444615,0.8867734901430023,2.006624284806103,1,731445,2318680.65,277557.56000000006,0.11970495376325328,23842,0.03259575224384609,1.0390741961501015,0,0,0,0,0,0,0
01,2019,Oakley,31,11,0,20,216.82,430.99,12034,6473,1256,478,247,3.17,0.0522169009732736,0.9411240328092694,1.8348454379258765,1,1119162,3547743.54,145674.62,0.04106120365171604,18850,0.01684295928560834,0.9990281957465937,0,0,0,0,0,0,0
01,2019,Over-the-Rhine,31,11,0,20,216.82,430.99,5200,2498,1076,598,132,3.17,0.32506004803843075,0.812888983355209,1.8602653846153847,0.65,483600,1533012,349963.88,0.22828515367133462,12337,0.02551075268817204,1.0666848897147156,0,0,0,0,0,0,0
01,2019,Pendleton,31,11,0,20,216.82,430.99,1083,571,238,111,49,3.17,0.21891418563922943,0.8248001052224421,1.9,1,100719,319279.23,53873.75000000001,0.16873552971171976,4160,0.04130303120563151,1.0348386661397935,0,0,0,0,0,0,0
01,2019,Pleasant Ridge,31,11,0,20,216.82,430.99,7182,3534.503298774741,1409.428840716305,690.7728557964185,255.6503298774741,3.17,0.08555060280930575,0.9452307188309471,2.006922862712337,1,667926,2117325.42,130322.27687087654,0.06155042377514012,24607.00282752121,0.03684091175896912,1.0436220543650565,0,0,0,0,0,0,0
01,2019,Queensgate,31,11,0,20,216.82,430.99,243,79.62848605577689,91.00398406374502,26.62350597609562,16.45816733067729,3.17,0.5319148936170213,0.5297077402677615,2.29,1,22599,71638.83,18254.830428286852,0.2548175399889536,1120.1235059760959,0.04956518013965644,0.8340904603963715,0,0,0,0,0,0,0
01,2019,Riverside,31,11,0,20,216.82,430.99,1772,929.6467065868264,299.67664670658684,135.77844311377248,49.70059880239521,3.17,0.17914216333550184,0.8507807900977372,1.9201128668171552,1,164796,522403.32,71776.61005988024,0.13739692553998364,4822.455089820361,0.029263180476591426,1.0174408961143122,0,0,0,0,0,0,0
01,2019,Roselawn,31,11,0,20,216.82,430.99,7627,3442,2060,1154,384,3.17,0.29110981987216733,0.73354247133246,2.1238612822866134,1,709311,2248515.87,431851.98,0.1920608992632994,39988,0.056375835141425974,0.9819792057371853,0,0,0,0,0,0,0
01,2019,Sayler Park,31,11,0,20,216.82,430.99,3001,1169,690,395,136,3.17,0.12745936698032506,0.8703071564957771,2.56,1,279093,884724.8099999999,64217.509999999995,0.07258472835185892,13806,0.04946738184046178,0.9923592666880977,0,0,0,0,0,0,0
01,2019,Sedamsville,31,11,0,20,216.82,430.99,520,218.35329341317367,118.32335329341318,64.22155688622755,25.29940119760479,3.17,0.3868092691622103,0.7831568153803606,2.26,1,48360,153301.19999999998,36401.87994011976,0.237453326784916,2327.5449101796407,0.0481295473568991,1.0687396895221757,0,0,0,0,0,0,0
01,2019,South Cumminsville,31,11,0,20,216.82,430.99,704,282.68535388927825,291.5655220742817,164.52978276103715,21.70707778556412,3.17,0.5305410122164048,0.5711313067425566,2.48,1,65472,207546.24,64638.23114225648,0.3114401453009049,4842.158374211634,0.07395769755333018,0.9565291495967917,0,0,0,0,0,0,0
01,2019,South Fairmount,31,11,0,20,216.82,430.99,1981,855,453,211,131,3.17,0.3929824561403509,0.7047997946218072,2.09,1,184233,584018.61,144812.64,0.2479589477465453,8892,0.04826496881666151,1.001023711185014,0,0,0,0,0,0,0
01,2019,Spring Grove Village,31,11,0,20,216.82,430.99,2171,862,599,373,70,3.17,0.2122969837587007,0.8897402149484337,2.51,1,201903,640032.51,78871.17,0.12322994342896738,11518,0.057047195930719205,1.0700173543081204,0,0,0,0,0,0,0
01,2019,Villages at Roll Hill,31,11,0,20,216.82,430.99,2348,847,1244,487,48,3.17,0.7107438016528925,0.41098250836216993,2.77,1,218364,692213.88,259455.98,0.37482053957080436,13910,0.06370097635141324,0.8495040242843875,0,0,0,0,0,0,0
01,2019,Walnut Hills,31,11,0,20,216.82,430.99,6368,3492,1070,513,163,3.17,0.45217640320733105,0.732733199879062,1.7996058417085423,0.69,592224,1877350.0799999998,680533.21,0.3624967006686361,12127.439999999999,0.02047779218674015,1.1157076927344383,0,0,0,0,0,0,0
01,2019,West End,31,11,0,20,216.82,430.99,6695,3532.019985196151,1595.9089563286454,1087.6439674315322,210.5988156920799,3.17,0.36344459139700896,0.7446391726929729,1.9098760268857355,1,622635,1973752.95,553259.087564767,0.28030817512635864,33754.31236121392,0.05421203813022705,1.0791593859495587,0,0,0,0,0,0,0
01,2019,West Price Hill,31,11,0,20,216.82,430.99,18343,7664.524854369146,5121.964782260825,2655.326325370089,847.0986757029516,3.17,0.23711169197677295,0.8528769473865814,2.3877086627051196,1,1705899,5407699.83,783259.0112313773,0.14484143644329778,91063.05002789905,0.05338126701985232,1.0510996508497314,0,0,0,0,0,0,0
01,2019,Westwood,31,11,0,20,216.82,430.99,32316,14259.456878767289,8629.008023236744,4229.56188180478,1379.3619842848082,3.17,0.223270087422473,0.8457906397845295,2.2547292362916203,1,3005388,9527079.959999999,1372147.2521674037,0.14402600355286657,145832.0205183293,0.048523525254752224,1.0383401685921483,0,0,0,0,0,0,0
01,2019,Winton Hills,31,11,0,20,216.82,430.99,6008,2268,3018,1748,402,3.17,0.5476190476190477,0.5481767127280999,2.65,1,558744,1771218.48,535289.5800000001,0.3022154443646049,55900,0.10004581704680497,0.9504379741395097,0,0,0,0,0,0,0
01,2020,Avondale,31,13,0,18,120.16,235.34,12719,5968,3390,1896,515,3.33,0.35874664879356566,0.6989734205984481,1.999154335719968,1,1182867,3938947.11,503862.93999999994,0.12791817862210392,56417.4,0.04769547210294987,0.874587071323502,29025.869000000002,0.024538573651982854,0,0,0,0,0.024538573651982854
01,2020,Bond Hill,31,13,0,18,120.16,235.34,7276,3243,1799,1169,149,3.33,0.13444341658957756,0.8648665894807344,2.20003345413995,1,676668,2253304.44,102608.24,0.045536785078185,30841.2,0.04557803826987533,0.9559814128287947,194765.0545,0.2878295626511081,605,8.940869082031365e-4,0,0,0.28872364955931124
01,2020,California,31,13,0,18,120.16,235.34,930.8790896159318,329.38264580369844,241.57041251778097,113.149359886202,52.40967283072546,3.33,0,0.9712414032173837,2.8,0.13,86571.75533428165,288283.9452631579,0,0,503.6305775248934,0.005817492963844989,0.9770588961812288,0,0,0,0,0,0,0
01,2020,Camp Washington,31,13,0,18,120.16,235.34,1128,412,112,33,24,3.33,0.19174757281553398,0.8930051929138453,1.9,1,104904,349330.32,18591.86,0.05322143236808073,1333.8,0.012714481811942346,0.9589411070938684,5929.9615,0.056527506100815986,436,0.00415618088919393,0,0,0.060683686990009915
01,2020,Carthage,31,13,0,18,120.16,235.34,3021,1040,911,537,286,3.33,0.22596153846153846,0.8068409280797094,2.9,1,280953,935573.49,55304.9,0.05911336799421284,19258.2,0.06854598455969504,0.9345002806336173,51401.53441666667,0.18295421090597597,0,0,0,0,0.18295421090597597
01,2020,Clifton,31,13,0,18,120.16,235.34,8476,4118,1379,751,212,3.33,0.05099562894609033,0.8758416934870757,2.0755682881197384,0.4,788268,2624932.44,49421.399999999994,0.018827684570807465,9013.68,0.01143479121314071,0.9061041692710239,7085.496583333334,0.008988689866052325,0,0,0,0,0.008988689866052325
01,2020,College Hill,31,13,0,18,120.16,235.34,16199,7263,3660,2115,618,3.33,0.144292991876635,0.8424894559041248,2.21074986282997,1,1506507,5016668.3100000005,246636.31999999998,0.04916336994183296,63952.200000000004,0.04245064908427243,0.9341034749302302,25440.714583333334,0.01688721963013337,0,0,0,0,0.01688721963013337
01,2020,Columbia Tusculum,31,13,0,18,120.16,235.34,1533.9553736466862,712.7721151307104,250.8824927383153,120.04145761816744,40.70609981515712,3.33,0.027389277389277385,0.9623346130991878,2.15,0.13,142657.84974914184,475050.63966464234,4594.381182994454,0.00967135037695732,488.9940697121734,0.00342774036319803,0.9754337038393431,0,0,0,0,0,0,0
01,2020,Corryville,31,13,0,18,120.16,235.34,4310,1868,192,75,9,3.33,0.05139186295503212,0.7052290087997718,2.254939759036145,1,400830,1334763.9000000001,22592.64,0.016926319328834108,1965.6000000000001,0.004903824564029639,0.7270591526926355,21362.534666666666,0.05329574798958827,0,0,0,0,0.05329574798958827
01,2020,CUF,31,13,0,18,120.16,235.34,16792,5439,516,180,190,3.33,0.05846662989520132,0.7758753361797359,2.2019930481913512,1,1561656,5200314.48,74838.12000000001,0.01439107582586044,8658,0.005544114709001214,0.7958105267145975,37399.8445,0.023948836683623024,0,0,0,0,0.023948836683623024
01,2020,Downtown,31,13,0,18,120.16,235.34,3914.909696521096,2723.1265729089564,201.82013323464105,37.58771280532939,0,3.33,0.11548966225090679,0.9087095158768976,1.4003966813585689,1,364086.60177646193,1212408.3839156183,74012.7751295337,0.06104607664498373,879.5524796447077,0.002415778211428736,0.9721713707333101,5671.1405,0.01557635044060728,0,0,0,0,0.01557635044060728
01,2020,East End,31,13,0,18,120.16,235.34,1462,703,201,94,47,3.33,0.08677098150782361,0.9357052673269892,2.06,1,135966,452766.78,14355.74,0.03170669897645759,3299.4,0.024266360707824015,0.9916783270112709,13885.707666666667,0.10212632324747854,0,0,0,0,0.10212632324747854
01,2020,East Price Hill,31,13,0,18,120.16,235.34,14788,6063,4110,2240,563,3.33,0.3092528451261752,0.8020828826719687,2.421629116117851,1,1375284,4579695.72,441262.50000000006,0.09635192531961492,65590.2,0.04769211304719607,0.9461269210387797,53963.918333333335,0.03923838155125293,0,0,0,0,0.03923838155125293
01,2020,East Walnut Hills,31,13,0,18,120.16,235.34,3730.882390745501,2345.219794344473,238.01092544987148,95.55205655526991,27.909383033419022,3.33,0.04203047165349195,0.9491143565428948,1.573157490396927,1,346972.0623393316,1155416.9675899742,23197.62714652956,0.020077277551944144,2888.9976863753213,0.008326312115440408,0.9775179462102793,17777.23966666667,0.05123536329354635,0,0,0,0,0.05123536329354635
01,2020,East Westwood,31,13,0,18,120.16,235.34,2594.407482530325,1110.7037754202113,825.6099130303817,480.5686400397181,143.2812563343105,3.33,0.33150239251829033,0.7195231992851518,2.3166400319616463,1,241279.89587532025,803462.0532648164,86652.4136747975,0.10784879425567266,14598.087575152269,0.06050271002560334,0.8878747035664278,3257.0525833333336,0.013499063282986468,270,0.0011190323131584931,0,0,0.014618095596144961
01,2020,English Woods,31,13,0,18,120.16,235.34,452.0534606205251,217.20286396181385,136.43054892601432,76.47350835322196,21.494033412887827,3.33,0.2520833333333333,0.7217729652690682,2.03,1,42040.97183770883,139996.4362195704,12885.623255369928,0.09204250910473262,2292.440477326969,0.054528722270657755,0.8683441966444586,400,0.009514527912059785,190,0.004519400758228398,0,0,0.014033928670288184
01,2020,Evanston,31,13,0,18,120.16,235.34,8305.282306961239,3343.4372591649085,1505.629449810726,782.1793541466063,288.16671147665744,3.33,0.1422590802574327,0.8804569120230866,2.1611643999045573,0.36,772391.2545473952,2572062.8776428257,111935.77837119107,0.04351984523557796,9016.595256810373,0.0116736112737241,0.9356503685323887,23233.602166666667,0.03008009480930887,0,0,0,0,0.03008009480930887
01,2020,Hartwell,31,13,0,18,120.16,235.34,5213,2384,1046,412,203,3.33,0.1174496644295302,0.913793043508832,2.12,1,484809,1614413.97,65895.2,0.040816792486006545,14391,0.029683854878931704,0.9842936908737702,6657.969833333334,0.013733181177192117,0,0,0,0,0.013733181177192117
01,2020,Hyde Park,31,13,0,18,120.16,235.34,13423,6632,2497,1401,325,3.33,0.012665862484921592,0.9534150435051413,2.009787826348657,0.65,1248339,4156968.87,19768.56,0.00475552274222347,26252.460000000003,0.02102991254779351,0.9792004787951583,1043.4041666666667,8.358339895386323e-4,0,0,0,0,8.358339895386323e-4
01,2020,Kennedy Heights,31,13,0,18,120.16,235.34,5020,2564,821,456,28,3.33,0.09711388455538221,0.9107031379860648,1.95,1,466860,1554643.8,58599.659999999996,0.03769330312191126,11325.6,0.02425909266161162,0.9726555337695877,9514.583333333334,0.020379949735109742,0,0,0,0,0.020379949735109742
01,2020,Linwood,31,13,0,18,120.16,235.34,669.9474518088197,311.2997095326116,109.57169263269078,52.42751518352258,17.77818853974122,3.33,0.027389277389277385,0.9623346130991878,2.15,1,62305.11301822023,207476.02635067338,2006.573345656192,0.009671350376957322,1642.813467124373,0.026367233563061764,0.9983731970392069,0,0,0,0,0,0,0
01,2020,Lower Price Hill,31,13,0,18,120.16,235.34,858.0199203187251,279.6902390438247,281.9641434262948,89.4402390438247,42.44621513944223,3.33,0.4823848238482385,0.5952954702742855,2.3,1,79795.85258964144,265720.18912350596,31751.679003984067,0.11949291135430429,3086.143027888447,0.038675481591245876,0.7534638632198357,6401.076083333333,0.08021815514963591,435,0.005451411143346425,0,0,0.08566956629298234
01,2020,Madisonville,31,13,0,18,120.16,235.34,10708.111111111111,5353.468574635242,1880.7525252525252,960.5347923681256,350.611672278339,3.33,0.08306340508859596,0.8876322250695385,2.036783539398413,1,995854.3333333334,3316194.93,104650.3625701459,0.03155736160845825,30680.827272727274,0.0308085492483947,0.9499981359263915,52409.73666666667,0.052627914457368766,0,0,0,0,0.052627914457368766
01,2020,Millvale,31,13,0,18,120.16,235.34,2172.5998598458305,849.0014015416958,897.9677645409951,539.3833216538192,57.25297827610371,3.33,0.5732031943212067,0.5452783320061262,2.55,1,202051.78696566224,672832.4505956552,114528.2852137351,0.1702181354545902,13961.289418360195,0.0690975795266431,0.7845940469873595,40023.690833333334,0.19808629972738215,0,0,0,0,0.19808629972738215
01,2020,Mt. Adams,31,13,0,18,120.16,235.34,1617,975,115,69,28,3.33,0,0.9684951807216208,1.66,0.13,150381,500768.73000000004,0,0,295.074,0.0019621760727751513,0.9704573567943959,0,0,0,0,0,0,0
